area_limpo,bathrooms_limpo,rooms_limpo,condo_limpo,garages_limpo,price_limpo
116,3.0,3.0,928.0,2.0,1000000.0
128,4.0,2.0,1150.0,3.0,1780000.0
129,3.0,3.0,1250.0,3.0,1400000.0
85,2.0,3.0,862.0,1.0,585000.0
80,2.0,2.0,800.0,1.0,630000.0
145,5.0,3.0,1200.0,3.0,2020000.0
37,1.0,1.0,658.0,1.0,480000.0
111,3.0,3.0,1450.0,2.0,1550000.0
68,3.0,2.0,930.0,2.0,700000.0
75,3.0,3.0,585.0,2.0,895000.0
74,3.0,2.0,710.0,2.0,960000.0
133,4.0,3.0,1350.0,2.0,1290000.0
51,1.0,1.0,550.0,1.0,670000.0
63,2.0,1.0,800.0,1.0,920000.0
74,1.0,1.0,800.0,2.0,1100000.0
105,3.0,3.0,1200.0,2.0,1600000.0
50,2.0,1.0,630.0,1.0,520000.0
127,4.0,3.0,1000.0,3.0,1450000.0
172,5.0,3.0,1780.0,3.0,1450000.0
210,4.0,3.0,1820.0,4.0,2040000.0
52,1.0,2.0,948.0,1.0,698000.0
131,5.0,3.0,1500.0,2.0,1700000.0
44,1.0,1.0,655.0,1.0,573000.0
147,4.0,3.0,1177.0,2.0,1850000.0
51,2.0,1.0,780.0,1.0,760000.0
104,4.0,3.0,1555.0,2.0,1540601.0
77,2.0,3.0,490.0,2.0,1000000.0
44,1.0,1.0,656.0,1.0,580000.0
65,2.0,2.0,500.0,1.0,639000.0
112,3.0,3.0,800.0,2.0,1580000.0
74,2.0,2.0,800.0,2.0,980000.0
74,2.0,2.0,800.0,1.0,1098200.0
70,2.0,2.0,580.0,1.0,780000.0
58,2.0,2.0,674.0,1.0,943000.0
35,1.0,1.0,470.0,1.0,480000.0
58,2.0,2.0,600.0,1.0,850000.0
42,1.0,1.0,677.0,2.0,625000.0
140,3.0,3.0,1250.0,2.0,1500000.0
148,3.0,3.0,1500.0,3.0,2130000.0
161,5.0,3.0,1650.0,2.0,2200000.0
111,3.0,2.0,995.0,2.0,1550000.0
69,2.0,2.0,552.0,1.0,823000.0
131,4.0,3.0,1510.0,2.0,1700000.0
95,3.0,2.0,736.0,2.0,1138000.0
116,4.0,3.0,1124.0,2.0,1390000.0
111,3.0,2.0,1000.0,2.0,1435000.0
86,2.0,3.0,1160.0,2.0,900000.0
43,1.0,1.0,665.0,1.0,535000.0
134,4.0,3.0,1166.0,2.0,1820000.0
94,4.0,3.0,540.0,2.0,1077000.0
68,2.0,1.0,612.0,1.0,917600.0
80,3.0,2.0,711.0,0.0,1015000.0
51,1.0,1.0,540.0,1.0,650000.0
147,4.0,3.0,1550.0,3.0,1450000.0
44,1.0,1.0,600.0,1.0,650000.0
40,1.0,1.0,525.0,1.0,599000.0
107,3.0,3.0,1450.0,1.0,950000.0
107,3.0,3.0,1450.0,1.0,950000.0
67,2.0,1.0,800.0,1.0,900000.0
130,4.0,3.0,670.0,2.0,1862000.0
58,1.0,2.0,650.0,1.0,850000.0
134,5.0,3.0,1300.0,2.0,1800000.0
75,2.0,2.0,800.0,1.0,1050000.0
169,4.0,3.0,1686.0,2.0,1450000.0
65,2.0,2.0,600.0,1.0,650000.0
77,2.0,2.0,888.0,2.0,860000.0
72,1.0,2.0,560.0,1.0,870000.0
68,2.0,1.0,612.0,1.0,917500.0
91,3.0,3.0,910.0,2.0,1021000.0
65,2.0,2.0,800.0,1.0,850000.0
148,4.0,3.0,1280.0,2.0,2200000.0
100,3.0,2.0,1090.0,2.0,1050000.0
167,4.0,3.0,1500.0,3.0,1800000.0
45,1.0,1.0,550.0,1.0,680000.0
36,1.0,1.0,450.0,1.0,532000.0
58,2.0,2.0,950.0,1.0,900000.0
51,1.0,2.0,408.0,1.0,510000.0
104,4.0,3.0,728.0,2.0,1315741.0
128,4.0,3.0,1500.0,3.0,2070000.0
61,2.0,1.0,800.0,1.0,1000000.0
50,2.0,1.0,669.0,1.0,520000.0
55,2.0,2.0,500.0,1.0,759000.0
67,2.0,1.0,603.0,1.0,850000.0
50,1.0,1.0,669.0,1.0,420000.0
102,4.0,3.0,620.0,2.0,1040000.0
33,2.0,1.0,570.0,1.0,561800.0
100,3.0,3.0,1000.0,2.0,905000.0
44,1.0,1.0,400.0,1.0,550000.0
58,2.0,2.0,600.0,1.0,645000.0
74,3.0,2.0,710.0,2.0,970000.0
86,2.0,2.0,740.0,1.0,670000.0
70,1.0,1.0,590.0,1.0,840000.0
70,2.0,2.0,700.0,2.0,650000.0
105,2.0,3.0,840.0,2.0,1332000.0
67,2.0,2.0,800.0,1.0,965000.0
85,3.0,2.0,700.0,2.0,1450000.0
135,5.0,3.0,1000.0,3.0,1482000.0
51,1.0,1.0,650.0,1.0,780000.0
134,5.0,4.0,1277.0,2.0,1705000.0
70,2.0,1.0,1033.0,1.0,1050000.0
94,3.0,2.0,830.0,2.0,1218000.0
44,1.0,1.0,540.0,1.0,650000.0
52,1.0,1.0,740.0,1.0,650000.0
105,2.0,3.0,840.0,2.0,1100000.0
92,3.0,3.0,850.0,2.0,1280000.0
65,2.0,2.0,520.0,2.0,740000.0
80,2.0,1.0,800.0,1.0,1260000.0
39,1.0,1.0,560.0,1.0,670000.0
34,1.0,1.0,480.0,1.0,520000.0
58,2.0,1.0,690.0,1.0,851000.0
60,1.0,2.0,620.0,1.0,517000.0
134,5.0,3.0,1200.0,2.0,1740000.0
177,3.0,3.0,1854.0,2.0,1700000.0
144,5.0,3.0,1240.0,3.0,1910000.0
133,3.0,2.0,1000.0,1.0,1300000.0
83,3.0,2.0,941.0,2.0,1272000.0
68,3.0,2.0,700.0,1.0,764000.0
149,3.0,3.0,1499.0,3.0,1886900.0
134,5.0,3.0,1050.0,2.0,1880000.0
169,3.0,3.0,1647.0,2.0,1400000.0
46,1.0,1.0,704.0,1.0,695000.0
66,2.0,2.0,720.0,2.0,896000.0
74,2.0,2.0,650.0,2.0,1050000.0
125,4.0,3.0,1100.0,4.0,1400000.0
77,2.0,2.0,800.0,1.0,940000.0
58,2.0,1.0,650.0,1.0,850000.0
134,4.0,3.0,1400.0,2.0,1700000.0
67,2.0,1.0,800.0,1.0,900000.0
115,5.0,3.0,1540.0,3.0,1200000.0
131,4.0,3.0,1200.0,2.0,2100000.0
67,2.0,1.0,800.0,1.0,885000.0
134,4.0,3.0,1160.0,2.0,1820000.0
74,2.0,2.0,800.0,2.0,915000.0
44,1.0,1.0,600.0,1.0,610000.0
105,4.0,3.0,910.0,2.0,1399000.0
110,3.0,3.0,800.0,2.0,1799000.0
42,1.0,1.0,500.0,1.0,690000.0
77,3.0,2.0,750.0,2.0,1050000.0
51,1.0,1.0,774.0,1.0,590000.0
49,1.0,1.0,500.0,1.0,545000.0
51,1.0,1.0,750.0,1.0,735000.0
65,2.0,2.0,880.0,2.0,750000.0
121,4.0,3.0,1600.0,2.0,1200000.0
60,2.0,2.0,670.0,1.0,480000.0
75,2.0,1.0,1050.0,2.0,1166000.0
90,3.0,2.0,900.0,2.0,1125000.0
64,1.0,2.0,500.0,1.0,520000.0
143,3.0,3.0,950.0,3.0,1680000.0
136,5.0,3.0,1827.0,3.0,1600000.0
67,2.0,1.0,800.0,1.0,885000.0
63,1.0,1.0,352.0,1.0,430000.0
90,2.0,3.0,1100.0,2.0,910000.0
51,1.0,1.0,600.0,1.0,690000.0
65,2.0,2.0,720.0,2.0,895000.0
40,1.0,1.0,600.0,1.0,580000.0
120,4.0,3.0,1000.0,3.0,1800000.0
38,1.0,1.0,556.0,1.0,600000.0
38,1.0,1.0,556.0,1.0,600000.0
148,5.0,3.0,1500.0,3.0,2000000.0
54,2.0,2.0,572.0,1.0,470000.0
64,2.0,2.0,848.0,2.0,800000.0
74,2.0,2.0,650.0,1.0,950000.0
145,5.0,3.0,1200.0,2.0,1980000.0
68,1.0,2.0,544.0,1.0,750000.0
130,5.0,3.0,1100.0,2.0,1620000.0
175,2.0,3.0,1500.0,3.0,1900000.0
145,4.0,3.0,1400.0,2.0,2100000.0
121,1.0,4.0,1820.0,3.0,1200000.0
115,4.0,3.0,1596.0,2.0,1090000.0
136,3.0,3.0,1600.0,3.0,1450000.0
68,3.0,2.0,700.0,1.0,764000.0
63,2.0,1.0,800.0,1.0,900000.0
74,2.0,2.0,720.0,2.0,1020000.0
100,4.0,3.0,1105.0,3.0,954000.0
64,1.0,2.0,695.0,2.0,775200.0
64,1.0,2.0,695.0,2.0,775200.0
100,3.0,3.0,1200.0,1.0,640000.0
95,4.0,2.0,736.0,2.0,1150000.0
40,1.0,1.0,700.0,1.0,480000.0
33,1.0,1.0,550.0,1.0,628000.0
58,1.0,2.0,700.0,1.0,495000.0
63,2.0,1.0,747.0,1.0,1240000.0
167,2.0,4.0,800.0,3.0,1850000.0
63,2.0,2.0,400.0,1.0,755200.0
40,1.0,1.0,320.0,1.0,550000.0
143,4.0,4.0,1573.0,2.0,1838000.0
120,2.0,2.0,1100.0,2.0,890000.0
95,3.0,3.0,736.0,2.0,1150000.0
121,2.0,4.0,1720.0,3.0,1200000.0
66,2.0,2.0,1000.0,1.0,950000.0
74,1.0,2.0,800.0,1.0,857000.0
134,5.0,4.0,1277.0,2.0,1700000.0
138,5.0,3.0,1629.0,2.0,1580000.0
34,1.0,1.0,400.0,1.0,525000.0
50,1.0,1.0,500.0,1.0,555600.0
105,2.0,2.0,985.0,2.0,1420000.0
75,2.0,2.0,800.0,2.0,780000.0
163,4.0,3.0,1000.0,3.0,1936000.0
140,4.0,4.0,1415.0,2.0,1485000.0
74,2.0,2.0,720.0,2.0,1020000.0
74,2.0,2.0,850.0,1.0,947200.0
198,5.0,3.0,1700.0,2.0,2332000.0
128,4.0,2.0,1000.0,3.0,2100000.0
43,1.0,1.0,369.0,1.0,550400.0
49,1.0,1.0,661.0,1.0,490000.0
168,3.0,2.0,900.0,2.0,1915000.0
140,3.0,3.0,1400.0,2.0,1500000.0
45,1.0,1.0,550.0,1.0,640000.0
80,2.0,1.0,550.0,1.0,1272000.0
74,3.0,2.0,850.0,2.0,1240000.0
40,1.0,1.0,320.0,1.0,550000.0
42,1.0,1.0,550.0,1.0,670000.0
68,2.0,2.0,700.0,1.0,990000.0
68,2.0,2.0,541.0,1.0,745000.0
50,1.0,1.0,580.0,1.0,565000.0
139,3.0,2.0,1525.0,1.0,1970000.0
105,3.0,3.0,840.0,2.0,1100000.0
138,4.0,4.0,1537.0,2.0,1430000.0
169,5.0,3.0,1959.0,3.0,1890000.0
100,3.0,3.0,1100.0,2.0,1000000.0
55,1.0,1.0,650.0,1.0,850000.0
76,3.0,3.0,801.0,2.0,685000.0
131,3.0,3.0,670.0,2.0,1700000.0
138,5.0,3.0,1100.0,2.0,2020000.0
91,3.0,3.0,910.0,2.0,975600.0
91,3.0,3.0,910.0,2.0,975600.0
91,3.0,3.0,910.0,2.0,975600.0
40,1.0,1.0,450.0,1.0,540000.0
134,4.0,3.0,1250.0,2.0,1740000.0
53,1.0,1.0,550.0,1.0,798000.0
131,4.0,3.0,1500.0,2.0,1650000.0
58,2.0,2.0,576.0,1.0,849000.0
74,2.0,2.0,830.0,1.0,960000.0
46,1.0,1.0,350.0,1.0,520000.0
51,1.0,1.0,730.0,1.0,590000.0
132,3.0,3.0,1050.0,2.0,1392000.0
72,2.0,2.0,610.0,1.0,955000.0
98,2.0,3.0,1020.0,3.0,970000.0
70,3.0,2.0,700.0,2.0,950000.0
39,1.0,1.0,595.0,1.0,339000.0
166,4.0,3.0,1600.0,3.0,2200000.0
66,3.0,2.0,528.0,1.0,750000.0
62,2.0,2.0,700.0,1.0,750000.0
45,1.0,1.0,640.0,1.0,560000.0
95,2.0,2.0,780.0,2.0,1130000.0
110,1.0,3.0,950.0,2.0,1116000.0
35,1.0,1.0,400.0,1.0,550000.0
145,5.0,3.0,1200.0,2.0,1950000.0
111,3.0,3.0,1000.0,2.0,1680000.0
168,5.0,4.0,1320.0,2.0,1865000.0
145,5.0,3.0,1200.0,2.0,2100000.0
145,5.0,3.0,1200.0,2.0,2150000.0
74,2.0,2.0,720.0,2.0,1020000.0
